Fiscal Year,Grant Type,Organization,Project,Amount,Location,Strategic Priority,Strategic Results,TOTAL # SERVED,# NH SERVED,GrantStatusId
2013,Community Grant,North Hawaii Community Hospital,"Provide medical, behavioral, psychosocial change interventions to Native Hawaiians.",240782,Hawaii,Health,Decrease Chronic Disease Rates,83,83,1
2014,Community Grant,Family Promise of Hawaii ,To assist Native Hawaiian families in transition to secure affordable rental housing.  (Year 1 of 2),20000,Oahu,Economic Self-Sufficiency,Build Stability in Housing,87,87,1
2014,Community Grant,Kokua Kalihi Valley Comprehensive Family Services ,The project will serve the 'ohana's continuum of health needs across all stages of life to include food gathering and preparation and cultural knowledge sharing on traditional healing practices. (Year 1 of 2),260409,Oahu,Health,Decrease Chronic Disease Rates,87,78,1
2014,Community Grant,Paepae o Heeia,"Capture, preserve and maintain the traditions and practices of the He'eia landscape through hands-on cultural workshops such as he'e preparation, dry-stack masonry, and inamona making.  (Year 1 of 2)",47640,Oahu,Culture,Participate in Culture,93,58,1
2015,Community Grant,Kokua Kalihi Valley Comprehensive Family Services,The project will serve the 'ohana's continuum of health needs across all stages of life to include food gathering and preparation and cultural knowledge sharing on traditional healing practices.  (Year 2 of 2),234926,Oahu,Health,Decrease Chronic Disease Rates,98,64,1
2013,Community Grant,Waimanalo Health Center,Provide comprehensive care that is sensitive to cultural diversity and acceptable to individuals and families of the Waimānalo community.,200000,Oahu,Health,Decrease Chronic Disease Rates,98,98,1
2015,Community Grant,Paepae o Heeia ,"Capture, preserve and maintain the traditions and practices of the He'eia landscape through hands-on cultural workshops such as he'e preparation, dry-stack masonry, and inamona making.  (Year 2 of 2)",45440,Oahu,Culture,Participate in Culture,99,74,1
2013,Community Grant,"Alu Like, Inc.","To provide community resource and assistance services, financial education and asset building services to Native Hawaiians on Oahu who are residing in transitional shelters, those previously incarcerated and currently preparing to exit the system.",155138,Statewide,Economic Self-Sufficiency,Build Stability in Housing,107,107,1
2013,Community Grant,Ka Aha Hui Naauao,Ka Papa Oihana - Malama I Na Opiopio Ma - series of workshops to teach various cultural practices to at-risk youth,34000,Oahu,Culture,Participate in Culture,117,,1
2013,Community Grant,Catholic Charities,"To continue operating Ma'ili Land Transitional Housing Program, on the Wai'anae Coast of Oahu, to provide supportive service in a residential setting for homeless families with children.",150000,Oahu,Economic Self-Sufficiency,Build Stability in Housing,119,119,1
2015,BOT Initiative,Univeristy of Hawaii - Office of Research Services,To support the OHA Higher Education Scholarships program through Liko A'e.,187000,Statewide,Education,Exceed Education Standards,127,127,2
2013,Community Grant,Nanakuli Housing Corporation ,"To provide homeownership and financial literacy training, credit counseling, Individual Development Accounts, Down Payment Assistance, and foreclosure counseling to assist families in attaining homeownership or decreasing the percentage of the household i",208675,Oahu,Economic Self-Sufficiency,Build Stability in Housing,129,129,1
2013,BOT Initiative,Univeristy of Hawaii - Office of Research Services,To support the OHA Higher Education Scholarships program through Liko A'e.,397000,Statewide,Education,Exceed Education Standards,140,140,1
2014,Community Grant,Parents and Children Together ,"To provide Competency Based Diploma program preparation classes, employment training and placement, business literacy training and business start-up support, career service planning and ongoing case management.  (Year 1 of 2)",300000,Oahu,Economic Self-Sufficiency,Increase Family Income,152,152,1
2015,BOT Initiative,Hawaii Community Foundation,To support the OHA Higher Education Scholarships program.,330000,Statewide,Education,Exceed Education Standards,156,156,1
2014,BOT Initiative,Hawaii Community Foundation,To support the OHA Higher Education Scholarships program.,330000,Statewide,Education,Exceed Education Standards,157,157,1
2013,Community Grant,Queen's Medical Center (The),Implement a community-based intervention to reduce the rate obesity among Native Hawaiians in Hana.,148500,Maui,Health,Decrease Chronic Disease Rates,165,165,1
2014,Community Grant,Papaku No Kamehaikana ,"Provide training in learning and understanding cultural protocol in 'oli, pule and mele.  (Year 1 of 2)",26500,Oahu,Culture,Participate in Culture,180,170,1
2013,Community Grant,Papaku No Kamehaikana,"Hookuakahi o ka Pae'aina series of workshops to teach oli, pule, and mele",25078,Oahu,Culture,Participate in Culture,195,,1
2013,BOT Initiative,Hawaii Community Foundation,To administer OHAʻs Higher Education Scholarship Services.,440000,Statewide,Education,Exceed Education Standards,204,204,1
2014,BOT Initiative,Lieutenant Governor's Office,To support the R.E.A.C.H. after-school programs at Moloka'i Middle School and Hana High and Elementary School on Maui.,75000,Multiple,Education,Exceed Education Standards,206,,1
2013,Community Grant,University of Hawaii - Office of Research Services,"To support ""PILI"" to provide a culturally-relevant and scientifically-supported lifestyle intervention to Native Hawaiians aimed at eliminating obesity.  (Year 2 of 2)",250000,Statewide,Health,Decrease Chronic Disease Rates,219,151,1
2015,Community Grant,I Ola Lahui,"The project will provide behavioral health interventions to promote health behavior changes known to reduce body weight and body mass index, improve obesity-related health risks as well as increase health knowledge on Oahu and Maui.  (Year 2 of 2)",250000,Multiple,Health,Decrease Chronic Disease Rates,250,109,1
2014,Community Grant,"Kaala Farm, Inc. ","To support the ""Auwai Program"" to continue hands-on learning and traditional ahupuaa management and to expand the land in cultivation to produce more healthy food for the community.  (Year 1 of 2)",100183,Oahu,Land & Water,Achieve Pae Aina Sustainability,280,,2
2015,Community Grant,Papaku No Kamehaikana ,"Provide training in learning and understanding cultural protocol in 'oli, pule and mele.  (Year 2 of 2)",28350,Oahu,Culture,Participate in Culture,283,262,1
2014,Community Grant,Keiki O Ka Aina Family Learning Centers ,"Provide family-centered learning and training to Native Hawaiian families, so they can construct their own papa and pohaku for making pa'i'ai.  (Year 1 of 2)",80228,Oahu,Culture,Participate in Culture,289,329,1
2014,Community Grant,Paa Pono Milolii ,Provide an integrated and comprehensive approach to perpetuating the cultural practices and cultural identity of the Miloli'i community.  (Year 1 of 2),70000,Hawaii,Culture,Participate in Culture,300,,1
2014,Community Grant,Kipahulu Ohana  ,To support cultural practitioners by providing the plant resources needed in their practice as well as connecting the community and others to the lo'i.  (Year 1 of 2),101900,Maui,Culture,Participate in Culture,335,213,1
2015,Community Grant,Kipahulu Ohana  ,To support cultural practitioners by providing the plant resources needed in their practice as well as connecting the community and others to the lo'i.  (Year 2 of 2),81300,Maui,Culture,Participate in Culture,356,204,1
2013,Community Grant,I Ola Lahui,To support the Kūlana Hawai'i Weight Management Program.  (Year 2 of 2),250000,Oahu,Health,Decrease Chronic Disease Rates,363,223,1
2014,Community Grant,The Queen's Medical Center ,"The project will provide an activity program in Hana that will decrease obesity, improve blood pressure, and improve physical functioning and psychological well-being. (Year 1 of 2)",209848,Maui,Health,Decrease Chronic Disease Rates,378,362,1
2015,Community Grant,After School All-Stars,"To provide after school enrichment, mentoring, and tutoring activities for middle school students on the Leeward coast. (Year 2 of 2)",75000,Oahu,Education,Exceed Education Standards,393,258,1
2013,Community Grant,Council for Native Hawaiian Advancement (CNHA),"To provide financial education counseling, financial assessments, asset building micro loans, Individual Development Accounts (IDA), and access to eligible working family tax credits.  (Year 2 of 2)",250000,Statewide,Economic Self-Sufficiency,Increase Family Income,393,393,1
2014,Community Grant,I Ola Lahui,"The project will provide behavioral health interventions to promote health behavior changes known to reduce body weight and body mass index, improve obesity-related health risks as well as increase health knowledge on Oahu and Maui. (Year 1 of 2)",250000,Multiple,Health,Decrease Chronic Disease Rates,407,206,1
2013,Community Grant,After School All-Stars,"To improve academic performance, as evidenced by improvement in HSA scores, of Native Hawaiian middle school students (11-14 years old).",72914,Hawaii,Education,Exceed Education Standards,420,196,1
2014,Community Grant,Boys and Girls Club of Maui ,To help develop good study habits for students through the Power Hour homework assistance program.   (Year 1 of 2),100000,Maui,Education,Exceed Education Standards,436,277,1
2014,Community Grant,After School All-Stars,"To provide after school enrichment, mentoring, and tutoring activities for middle school students on the Leeward coast. (Year 1 of 2)",75000,Oahu,Education,Exceed Education Standards,455,327,1
2015,Community Grant,The Queen's Medical Center ,"The project will provide an activity program in Hana that will decrease obesity, improve blood pressure, and improve physical functioning and psychological well-being.  (Year 2 of 2)",233329,Maui,Health,Decrease Chronic Disease Rates,475,230,1
2015,Community Grant,Paa Pono Milolii ,Provide an integrated and comprehensive approach to perpetuating the cultural practices and cultural identity of the Miloli'i community.  (Year 2 of 2),70000,Hawaii,Culture,Participate in Culture,485,,1
2015,Community Grant,"Kaala Farm, Inc. ","To support the ""Auwai Program"" to continue hands-on learning and traditional ahupuaa management and to expand the land in cultivation to produce more healthy food for the community. (Year 2 of 2)",99706,Oahu,Land & Water,Achieve Pae Aina Sustainability,595,,2
2013,Community Grant,Kokua Kalihi Valley Comprehensive Family Services ,"Restore watershed health, loi kalo revitalization, and installation of sustainable technologies.",97585,Oahu,Land & Water,Achieve Pae Aina Sustainability,597,,1
2015,Community Grant,Boys and Girls Club of Maui ,To help develop good study habits for students through the Power Hour homework assistance program.   (Year 2 of 2),100000,Maui,Education,Exceed Education Standards,617,421,1
2013,BOT Initiative,Native Hawaiian Education Association (NHEA),"To support for the 'Aha Wahine Conference to promote Native Hawaiian Womenʻs Physical, Mental, Spiritual and Social Health.",136000,Statewide,Health,Improve Family Lifestyle,632,458,1
2013,Community Grant,After School All-Stars,"To improve academic performance, as evidenced by improvement in HSA scores, of Native Hawaiian middle school students.",64430,Oahu,Education,Exceed Education Standards,651,424,1
2013,Community Grant,Hawaiian Kamalii Inc.,"Year round cultural programs for youth to include paddling, huaka'i, and various cultural practices",43320,Maui,Culture,Participate in Culture,702,,1
2015,Community Grant,Boys and Girls Club of Hawai'i ,The project will provide an afterschool physical education program for youth that incorporates cultural activities and involves family members.  (Year 2 of 2),85819,Kauai,Health,Decrease Chronic Disease Rates,760,208,1
2015,Community Grant,Keiki O Ka Aina Family Learning Centers ,"Provide family-centered learning and training to Native Hawaiian families, so they can construct their own papa and pohaku for making pa'i'ai.  (Year 2 of 2)",79611,Oahu,Culture,Participate in Culture,785,741,1
2014,Community Grant,Hawaii Alliance for Community-Based Economic Development (HACBED) ,"On behalf of na Kupuna a me Na Kakoo o Halawa to support ""Ka Uhane o Halawa"" to expand current aina and cultural activities, develop stewardship and sustainability plans, and build organizational capacity.  (Year 1 of 2)",80000,Oahu,Land & Water,Achieve Pae Aina Sustainability,801,,1
2014,Community Grant,Boys and Girls Club of Hawai'i ,The project will provide an afterschool physical education program for youth that incorporates cultural activities and involves family members.   (Year 1 of 2),85819,Kauai,Health,Decrease Chronic Disease Rates,810,546,1
2015,Community Grant,Hawaii Alliance for Community-Based Economic Development (HACBED) ,"On behalf of na Kupuna a me Na Kakoo o Halawa to support ""Ka Uhane o Halawa"" to expand current aina and cultural activities, develop stewardship and sustainability plans, and build organizational capacity.  (Year 2 of 2)",80000,Oahu,Land & Water,Achieve Pae Aina Sustainability,887,,1
2013,Community Grant,Ka Ohana O Kalaupapa,Making the History of Kalaupapa Come Alive for Future Generations - school outreach and family member resource program,53666,Statewide,Culture,Value History and Culture,959,,1
2014,Community Grant,Mana Maoli ,Provide a comprehensive program perpetuating Hawaiian voyaging culture and practice by linking lifelong learning and teaching of traditional Hawaiian canoe culture with viable carer pathways in the maritime industry.  (Year 1 of 2),148564,Statewide,Culture,Participate in Culture,1047,359,1
2013,Community Grant,Alternative Structures International,"Growing sustainable, healthy, and productive families, food and farmers through organic farming and aquaponics.",52000,Oahu,Land & Water,Achieve Pae Aina Sustainability,1265,,1
2015,Community Grant,Mana Maoli ,Provide a comprehensive program perpetuating Hawaiian voyaging culture and practice by linking lifelong learning and teaching of traditional Hawaiian canoe culture with viable carer pathways in the maritime industry.  (Year 2 of 2),148564,Statewide,Culture,Participate in Culture,1968,1223,1
2015,Community Grant,Kokua Kalihi Valley Comprehensive Family Services ,"To support ""Malama Maluawai"" to restore the health of the Kalihi ahupuaa through reforestation to restore watershed health, revitalization of loi kalo and pa pohaku, and hydrology research. (Year 2 of 2)",140000,Oahu,Land & Water,Achieve Pae Aina Sustainability,2087,,1
2014,BOT Initiative,Polynesian Voyaging Society,To support the Worldwide Voyage of Hokulea and Hikianalia,300000,Statewide,Culture,Value History and Culture,2128,,1
2014,BOT Initiative,University of Hawaii at Hilo,"To support the Na Pua Noeau Program to provide educational experiences in Hawaiian culture, language, and history.",590000,Statewide,Education,Exceed Education Standards,2230,1606,1
2014,Community Grant,Kokua Kalihi Valley Comprehensive Family Services ,"To support ""Malama Maluawai"" to restore the health of the Kalihi ahupuaa through reforestation to restore watershed health, revitalization of loi kalo and pa pohaku, and hydrology research.  (Year 1 of 2)",140000,Oahu,Land & Water,Achieve Pae Aina Sustainability,2663,,1
2014,BOT Initiative,Native Hawaiian Education Association (NHEA),To support the 2014 World Indigenous Peoples Conference on Education,150000,Oahu,Education,Exceed Education Standards,3118,736,1
2013,Community Grant,Papahana Kuaola,"Construction of traditional structures:  heiau mapele, hale mana, hale pahu",100000,Oahu,Culture,Participate in Culture,3574,,1
2013,BOT Initiative,Na Pua Noeau,"To provide access to educational experiences that would develop them to the highest potential and promote the teaching of Hawaiian culture, language, and history.",1231140,Statewide,Education,Exceed Education Standards,4047,3399,1
2015,BOT Initiative,Kanu O Ka Aina Learning Ohana,To support Hawaiian-focused charter schools,1500000,Statewide,Education,Exceed Education Standards,4145,3088,1
2013,BOT Initiative,Kanu O Ka Aina Learning Ohana,To support public charter schools.,1500000,Statewide,Education,Exceed Education Standards,4160,3224,1
2014,BOT Initiative,Kanu O Ka Aina Learning Ohana,To support Hawaiian-focused charter schools,1500000,Statewide,Education,Exceed Education Standards,4224,3202,1
2013,Community Grant,Lanai Culture and Heritage Center,Educational and interpretive programming for culture and history of Lanai,38001.6,Lanai,Culture,Value History and Culture,13611,,1
2013,Sponsorship,Agricultural Leadership Foundation of Hawaii,AG2012 Hawaii Agriculture Conference,2500,Oahu,Economic Self-Sufficiency,Increase Family Income,,,1
2013,Sponsorship,Aha Hipuu,Kalani Alii 7th Annual Awards Banquet,3500,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,"Aha Punana Leo, Inc.",Neepapa I ke O Mau 2013,10000,Oahu,Education,Exceed Education Standards,,,1
2013,Sponsorship,Ahahui Olelo Hawaii ,On behalf of Farringthon High School Hawaiian Academy to support Halau Kupa Hawaii emergency program funding,11200,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,Alaska Federation of Natives,Alaska Federation of Natives Annual Convention,5000,Continent,Governance,Priority Level,,,1
2013,Sponsorship,Aloha Aina Foundation,Leon Siu's attendance at United Nations meetings in Switzerland,2500,International,Governance,Priority Level,,,1
2014,Sponsorship,Aloha First,Nation Building with Unions,25000,Statewide,Governance,Priority Level,,,1
2014,Sponsorship,"Alu Like, Inc.",Special Interest Group on Indigenous Aging,10000,Continent,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,American Cancer Society,Relay for Life of Kamehameha Alumni,1500,Oahu,Health,Decrease Chronic Disease Rates,,,1
2014,Sponsorship,American Cancer Society,Annual Relay for Life of Kamehameha Alumni,2000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2015,Sponsorship,American Cancer Society,Kamehameha Alumni 7TH Annual Relay For Life,2000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2013,Sponsorship,American Diabetes Association,American Diabetes Month - Malama Ohana event,1000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2013,Sponsorship,American Diabetes Association,2013 Step Out Walk to Stop Diabetes,15000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2014,Sponsorship,American Diabetes Association,StepOut Walk to Stop Diabetes,15000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2015,Sponsorship,American Diabetes Association,2015 Step Out: Walk to Stop Diabetes,15000,Oahu,Health,Decrease Chronic Disease Rates,,,1
2013,Sponsorship,American University,Washington Internships for Native Students Sponorship of Native Hawaiian Student,10355,Continent,Governance,Priority Level,,,1
2014,Sponsorship,American University,"American University WINS Internship in Washington, D.C.",4645.14,Continent,Governance,Priority Level,,,1
2015,Sponsorship,American University,Washington Internships for Native Students (WINS) - Spring,18500,Continent,Governance,Priority Level,,,1
2015,Sponsorship,American University,Washington Internships for Native Students (WINS) - Summer,11336,Continent,Governance,Priority Level,,,1
2014,Sponsorship,APAICS,"APAICS Gala in Washington, D.C.",1700,Continent,Governance,Priority Level,,,1
2014,Sponsorship,"Asian and Pacific Islander American Vote, Inc.","2014 APIA VOTE FIELD PROGRAMS ""NO VOTE NO GRUMBLE CAMPAIGN""",25000,Statewide,Governance,Priority Level,,,1
2015,Sponsorship,Asian and Pacific Islander Association,9TH Annual APIASF Scholarship Benefit,5000,Continent,Governance,Priority Level,,,1
2013,Sponsorship,Association of Hawaiian Civic Clubs,AOHCC convention Ilima Sponsorship,25000,Oahu,Governance,Priority Level,,,1
2013,Sponsorship,"Awaiaulu, Inc. for UH Library and Information Science","Association of Tribal Archives, Libraries, & Museums Conference",3000,Continent,Education,Exceed Education Standards,,,1
2014,Sponsorship,Beamer Solomon Halau o Poohala,Tokyo International Gift Show in Japan,10164,International,Culture,Value History and Culture,,,1
2014,Sponsorship,Bishop Museum,15th Annual Bernice Pauahi Bishop Museum Dinner,5000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Bishop Museum,GOVERNOR ARIYOSHI'S 88TH BIRTHDAY LUNCHEON,10000,Oahu,Governance,Priority Level,,,1
2015,Sponsorship,Bishop Museum,16th Annual Bernice Pauahi Bishop Museum Dinner,3500,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Bishop Museum,Hoi Puolo: Treasures From Afar,20000,International,Culture,Value History and Culture,,,1
2015,Sponsorship,CFA Hawaii,10th Annual Economic Forecast Dinner,2500,Oahu,Economic Self-Sufficiency,Increase Family Income,,,1
2014,Sponsorship,Chaminade University of Honolulu, CyBiz Forum,8000,Oahu,Education,Exceed Education Standards,,,1
2015,Sponsorship,Chaminade University of Honolulu,Awa Symposium 2015,25000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Conservation Council for Hawaii,3RD Wild & Scenic Film Festival ,500,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Conservation Council for Hawaii ,The Wild & Scenic Film Festival ,500,Oahu,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,Sponsorship,Council for Native Hawaiian Advancement (CNHA),CNHA convention,5000,Oahu,Governance,Priority Level,,,1
2013,Sponsorship,Council for Native Hawaiian Advancement (CNHA),CNHA convention,40000,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,Council for Native Hawaiian Advancement (CNHA),Annual Native Hawaiian Convention,25000,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,Damien and Marianne Foundation (The),museum benefit dinner,5000,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,David Ige Inauguration Organization,Governor David Ige Inauguration Celebration,2584.95,Oahu,Governance,Priority Level,,,1
2013,BOT Initiative,Department of Hawaiian Home Lands,To cover debt service on bonds issued by DHHL that will be used to establish infrastructure to build more homes.  (30 year commitment),3000000,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2014,BOT Initiative,Department of Hawaiian Home Lands,To cover debt service on bonds issued by DHHL that will be used to establish infrastructure support for Native Hawaiian affordable housing opportunities.  (30 year commitment),3000000,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2015,BOT Initiative,Department of Hawaiian Home Lands,To cover debt service on bonds issued by DHHL that will be used to establish infrastructure support for Native Hawaiian affordable housing opportunities.  (30 year commitment),3000000,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,,2
2015,BOT Initiative,Department of Land and Natural Resources,To support the Aha Moku Advisory Committee,94067,Statewide,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,Sponsorship,Department of Land and Natural Resources,Humpback Whale Sanctuary,25000,Statewide,Land & Water,Achieve Pae Aina Sustainability,,,1
2013,BOT Initiative,Department of Land and Natural Resources,To support the management of Ka Wao Kele o Puna,228000,Hawaii,Land & Water,Achieve Pae Aina Sustainability,,,2
2014,BOT Initiative,Department of Land and Natural Resources,To support the management of Ka Wao Kele o Puna.,228000,Hawaii,Land & Water,Achieve Pae Aina Sustainability,,,2
2014,Community Grant,"Effective Planning Innovative Communication, Inc. (DBA Epic Ohana) ",To provide rental assistance matching funds for Native Hawaiian foster youth transitioning to adulthood from foster care.   (Year 1 of 2),24120,Statewide,Economic Self-Sufficiency,Build Stability in Housing,,85,1
2013,Sponsorship,"Effective Planning Innovative Communication, Inc. (DBA Epic Ohana) ",National convention of Court Appointed Special Advocates,1000,Continent,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,Friends of Chinatown,Arts District Chinatown Makahiki Celebration,2500,Oahu,Culture,Value History and Culture,,,1
2015,Sponsorship,Friends of Hawaii Volcanoes National Park,35th Annual Cultural Fesitval & BIOBLITZ,5000,Hawaii,Culture,Value History and Culture,,,1
2014,Sponsorship,Friends of Iolani Palace (The),Retail operations improvement,5000,Oahu,Culture,Value History and Culture,,,1
2014,Sponsorship,Friends of the Future,"Kipuka o Ke Ola, Oasis of Life, Health, and Well-Being",2000,Hawaii,Health,Improve Family Lifestyle,,,1
2015,Sponsorship,Habilitat,15th Annual Luau & Benefit Concert,950,Oahu,Health,Improve Family Lifestyle,,,1
2013,Sponsorship,"Hale Mua Cultural Group, Inc",Kona Kamehameha Day Parade - Pa'u workshop,1000,Hawaii,Culture,Value History and Culture,,,1
2015,Sponsorship,Hale O Na Alii - Halau O Kalakaua,Hale O Na Alii Convention ,5000,Hawaii,Culture,Value History and Culture,,,1
2013,Sponsorship,Haleiwa Main Street dba North Shore Chamber of Commerce,North Shore Economic Vitality Partnership's Cluster's of Opportunity Initiative,2500,Oahu,Economic Self-Sufficiency,Increase Family Income,,,1
2015,Sponsorship,Halelea Arts Foundation,Laieikawai ,15000,Kauai,Culture,Value History and Culture,,,1
2015,Sponsorship,Halelea Arts Foundation,Laiekawai performance for Kula Kaiapuni students,10000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Hawaii Academy of Recording Arts,Na Hoku Hanohano Awards,20000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Hawaii Bariatric Society,Walk from Obesity,500,Oahu,Health,Decrease Chronic Disease Rates,,,1
2013,Sponsorship,Hawaii Book and Music Festival,Hawaii Book and Music Festival,5000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Hawaii Conservation Alliance Foundation,International Union for the Conservation of Nature (IUCN) in Korea,25000,International,Land & Water,Achieve Pae Aina Sustainability,,,1
2015,Sponsorship,Hawaii Conservation Alliance Foundation,2015 Hawaii Conservation Conference,10000,Hawaii,Land & Water,Achieve Pae Aina Sustainability,,,1
2014,Sponsorship,Hawaii Habitat for Humanity,Annual Build-a-Thon,2500,Oahu,Economic Self-Sufficiency,Build Stability in Housing,,,1
2013,Sponsorship,Hawaii Maoli,Ka Mana o Ke Kanaka Awards,5000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Hawaii Maoli,On behalf of the Association of Hawaiian Civic Clubs to support the Prince Kuhio Celebrations,25000,Oahu,Culture,Value History and Culture,,,1
2013,Sponsorship,Hawaii Maoli,Grassroots Sovereignty Sunday,4000,Oahu,Governance,Priority Level,,,1
2014,Sponsorship,Hawaii Maoli,Annual Association of Hawaiian Civic Clubs Convention,25000,Kauai,Governance,Priority Level,,,1
2014,Sponsorship,Hawaii Maoli,Prince Kuhio Festival,15000,Oahu,Culture,Value History and Culture,,,1
